,Observations,Annotations,latitude,longitude,ligne,colonne
38,ign-FNF-2009/observation_irc_2009/945_6845_8_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6845_8_7_0M50_pfnf_nch.tif,945,6845,8,7
39,ign-FNF-2009/observation_irc_2009/975_6825_2_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_2_4_0M50_pfnf_nch.tif,975,6825,2,4
40,ign-FNF-2009/observation_irc_2009/940_6925_2_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6925_2_6_0M50_pfnf_nch.tif,940,6925,2,6
41,ign-FNF-2009/observation_irc_2009/1015_6895_5_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_5_2_0M50_pfnf_nch.tif,1015,6895,5,2
42,ign-FNF-2009/observation_irc_2009/980_6825_4_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/980_6825_4_2_0M50_pfnf_nch.tif,980,6825,4,2
43,ign-FNF-2009/observation_irc_2009/975_6825_6_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_6_5_0M50_pfnf_nch.tif,975,6825,6,5
44,ign-FNF-2009/observation_irc_2009/940_6925_2_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6925_2_2_0M50_pfnf_nch.tif,940,6925,2,2
45,ign-FNF-2009/observation_irc_2009/945_6925_7_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_7_3_0M50_pfnf_nch.tif,945,6925,7,3
46,ign-FNF-2009/observation_irc_2009/915_6890_1_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_1_8_0M50_pfnf_nch.tif,915,6890,1,8
47,ign-FNF-2009/observation_irc_2009/975_6850_2_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6850_2_7_0M50_pfnf_nch.tif,975,6850,2,7
48,ign-FNF-2009/observation_irc_2009/1015_6895_6_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_6_9_0M50_pfnf_nch.tif,1015,6895,6,9
49,ign-FNF-2009/observation_irc_2009/975_6835_3_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6835_3_1_0M50_pfnf_nch.tif,975,6835,3,1
50,ign-FNF-2009/observation_irc_2009/940_6925_2_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6925_2_3_0M50_pfnf_nch.tif,940,6925,2,3
51,ign-FNF-2009/observation_irc_2009/955_6915_5_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/955_6915_5_7_0M50_pfnf_nch.tif,955,6915,5,7
52,ign-FNF-2009/observation_irc_2009/945_6925_5_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_5_6_0M50_pfnf_nch.tif,945,6925,5,6
53,ign-FNF-2009/observation_irc_2009/975_6825_1_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_1_3_0M50_pfnf_nch.tif,975,6825,1,3
54,ign-FNF-2009/observation_irc_2009/890_6940_3_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/890_6940_3_2_0M50_pfnf_nch.tif,890,6940,3,2
55,ign-FNF-2009/observation_irc_2009/915_6890_5_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_5_2_0M50_pfnf_nch.tif,915,6890,5,2
56,ign-FNF-2009/observation_irc_2009/915_6890_2_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_2_9_0M50_pfnf_nch.tif,915,6890,2,9
57,ign-FNF-2009/observation_irc_2009/945_6925_8_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_8_1_0M50_pfnf_nch.tif,945,6925,8,1
58,ign-FNF-2009/observation_irc_2009/1015_6895_1_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_1_1_0M50_pfnf_nch.tif,1015,6895,1,1
59,ign-FNF-2009/observation_irc_2009/1015_6895_8_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_8_2_0M50_pfnf_nch.tif,1015,6895,8,2
60,ign-FNF-2009/observation_irc_2009/955_6915_2_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/955_6915_2_4_0M50_pfnf_nch.tif,955,6915,2,4
61,ign-FNF-2009/observation_irc_2009/915_6890_4_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_4_5_0M50_pfnf_nch.tif,915,6890,4,5
62,ign-FNF-2009/observation_irc_2009/945_6845_1_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6845_1_6_0M50_pfnf_nch.tif,945,6845,1,6
63,ign-FNF-2009/observation_irc_2009/910_6935_9_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/910_6935_9_5_0M50_pfnf_nch.tif,910,6935,9,5
64,ign-FNF-2009/observation_irc_2009/975_6825_7_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_7_3_0M50_pfnf_nch.tif,975,6825,7,3
65,ign-FNF-2009/observation_irc_2009/915_6890_2_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_2_8_0M50_pfnf_nch.tif,915,6890,2,8
66,ign-FNF-2009/observation_irc_2009/945_6925_2_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_2_3_0M50_pfnf_nch.tif,945,6925,2,3
67,ign-FNF-2009/observation_irc_2009/915_6915_4_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6915_4_8_0M50_pfnf_nch.tif,915,6915,4,8
68,ign-FNF-2009/observation_irc_2009/940_6905_9_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6905_9_3_0M50_pfnf_nch.tif,940,6905,9,3
69,ign-FNF-2009/observation_irc_2009/995_6895_5_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6895_5_9_0M50_pfnf_nch.tif,995,6895,5,9
70,ign-FNF-2009/observation_irc_2009/945_6845_2_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6845_2_7_0M50_pfnf_nch.tif,945,6845,2,7
71,ign-FNF-2009/observation_irc_2009/910_6935_7_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/910_6935_7_8_0M50_pfnf_nch.tif,910,6935,7,8
72,ign-FNF-2009/observation_irc_2009/910_6935_1_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/910_6935_1_6_0M50_pfnf_nch.tif,910,6935,1,6
73,ign-FNF-2009/observation_irc_2009/915_6825_1_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6825_1_6_0M50_pfnf_nch.tif,915,6825,1,6
74,ign-FNF-2009/observation_irc_2009/970_6845_2_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/970_6845_2_6_0M50_pfnf_nch.tif,970,6845,2,6
75,ign-FNF-2009/observation_irc_2009/975_6850_2_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6850_2_6_0M50_pfnf_nch.tif,975,6850,2,6
76,ign-FNF-2009/observation_irc_2009/980_6825_6_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/980_6825_6_1_0M50_pfnf_nch.tif,980,6825,6,1
77,ign-FNF-2009/observation_irc_2009/945_6845_9_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6845_9_8_0M50_pfnf_nch.tif,945,6845,9,8
78,ign-FNF-2009/observation_irc_2009/915_6825_7_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6825_7_9_0M50_pfnf_nch.tif,915,6825,7,9
79,ign-FNF-2009/observation_irc_2009/890_6940_6_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/890_6940_6_9_0M50_pfnf_nch.tif,890,6940,6,9
80,ign-FNF-2009/observation_irc_2009/945_6845_5_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6845_5_9_0M50_pfnf_nch.tif,945,6845,5,9
81,ign-FNF-2009/observation_irc_2009/925_6860_1_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/925_6860_1_4_0M50_pfnf_nch.tif,925,6860,1,4
82,ign-FNF-2009/observation_irc_2009/975_6825_1_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_1_9_0M50_pfnf_nch.tif,975,6825,1,9
83,ign-FNF-2009/observation_irc_2009/975_6850_6_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6850_6_2_0M50_pfnf_nch.tif,975,6850,6,2
84,ign-FNF-2009/observation_irc_2009/915_6890_5_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_5_8_0M50_pfnf_nch.tif,915,6890,5,8
85,ign-FNF-2009/observation_irc_2009/920_6860_8_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/920_6860_8_4_0M50_pfnf_nch.tif,920,6860,8,4
86,ign-FNF-2009/observation_irc_2009/995_6850_1_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6850_1_1_0M50_pfnf_nch.tif,995,6850,1,1
87,ign-FNF-2009/observation_irc_2009/915_6890_7_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_7_4_0M50_pfnf_nch.tif,915,6890,7,4
88,ign-FNF-2009/observation_irc_2009/915_6825_7_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6825_7_7_0M50_pfnf_nch.tif,915,6825,7,7
89,ign-FNF-2009/observation_irc_2009/975_6835_3_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6835_3_8_0M50_pfnf_nch.tif,975,6835,3,8
90,ign-FNF-2009/observation_irc_2009/970_6845_4_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/970_6845_4_3_0M50_pfnf_nch.tif,970,6845,4,3
91,ign-FNF-2009/observation_irc_2009/975_6825_4_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_4_6_0M50_pfnf_nch.tif,975,6825,4,6
92,ign-FNF-2009/observation_irc_2009/945_6925_3_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_3_2_0M50_pfnf_nch.tif,945,6925,3,2
93,ign-FNF-2009/observation_irc_2009/955_6915_8_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/955_6915_8_4_0M50_pfnf_nch.tif,955,6915,8,4
94,ign-FNF-2009/observation_irc_2009/975_6835_3_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6835_3_5_0M50_pfnf_nch.tif,975,6835,3,5
95,ign-FNF-2009/observation_irc_2009/920_6860_8_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/920_6860_8_7_0M50_pfnf_nch.tif,920,6860,8,7
96,ign-FNF-2009/observation_irc_2009/975_6835_7_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6835_7_9_0M50_pfnf_nch.tif,975,6835,7,9
97,ign-FNF-2009/observation_irc_2009/915_6825_2_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6825_2_5_0M50_pfnf_nch.tif,915,6825,2,5
98,ign-FNF-2009/observation_irc_2009/945_6925_4_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_4_7_0M50_pfnf_nch.tif,945,6925,4,7
99,ign-FNF-2009/observation_irc_2009/980_6825_8_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/980_6825_8_8_0M50_pfnf_nch.tif,980,6825,8,8
100,ign-FNF-2009/observation_irc_2009/975_6835_8_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6835_8_6_0M50_pfnf_nch.tif,975,6835,8,6
101,ign-FNF-2009/observation_irc_2009/1015_6895_8_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_8_8_0M50_pfnf_nch.tif,1015,6895,8,8
102,ign-FNF-2009/observation_irc_2009/1015_6895_3_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_3_5_0M50_pfnf_nch.tif,1015,6895,3,5
103,ign-FNF-2009/observation_irc_2009/915_6825_4_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6825_4_4_0M50_pfnf_nch.tif,915,6825,4,4
104,ign-FNF-2009/observation_irc_2009/940_6905_8_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6905_8_5_0M50_pfnf_nch.tif,940,6905,8,5
105,ign-FNF-2009/observation_irc_2009/910_6935_6_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/910_6935_6_7_0M50_pfnf_nch.tif,910,6935,6,7
106,ign-FNF-2009/observation_irc_2009/940_6905_5_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6905_5_9_0M50_pfnf_nch.tif,940,6905,5,9
107,ign-FNF-2009/observation_irc_2009/955_6915_9_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/955_6915_9_5_0M50_pfnf_nch.tif,955,6915,9,5
108,ign-FNF-2009/observation_irc_2009/975_6835_9_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6835_9_8_0M50_pfnf_nch.tif,975,6835,9,8
109,ign-FNF-2009/observation_irc_2009/995_6850_8_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6850_8_6_0M50_pfnf_nch.tif,995,6850,8,6
110,ign-FNF-2009/observation_irc_2009/995_6850_8_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6850_8_8_0M50_pfnf_nch.tif,995,6850,8,8
111,ign-FNF-2009/observation_irc_2009/910_6935_5_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/910_6935_5_1_0M50_pfnf_nch.tif,910,6935,5,1
112,ign-FNF-2009/observation_irc_2009/955_6915_6_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/955_6915_6_2_0M50_pfnf_nch.tif,955,6915,6,2
113,ign-FNF-2009/observation_irc_2009/945_6845_7_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6845_7_7_0M50_pfnf_nch.tif,945,6845,7,7
114,ign-FNF-2009/observation_irc_2009/925_6860_5_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/925_6860_5_8_0M50_pfnf_nch.tif,925,6860,5,8
115,ign-FNF-2009/observation_irc_2009/940_6925_2_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6925_2_8_0M50_pfnf_nch.tif,940,6925,2,8
116,ign-FNF-2009/observation_irc_2009/995_6895_4_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6895_4_8_0M50_pfnf_nch.tif,995,6895,4,8
117,ign-FNF-2009/observation_irc_2009/940_6905_4_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6905_4_6_0M50_pfnf_nch.tif,940,6905,4,6
118,ign-FNF-2009/observation_irc_2009/1015_6895_2_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_2_7_0M50_pfnf_nch.tif,1015,6895,2,7
119,ign-FNF-2009/observation_irc_2009/980_6825_4_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/980_6825_4_8_0M50_pfnf_nch.tif,980,6825,4,8
120,ign-FNF-2009/observation_irc_2009/970_6845_6_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/970_6845_6_5_0M50_pfnf_nch.tif,970,6845,6,5
121,ign-FNF-2009/observation_irc_2009/995_6850_8_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6850_8_4_0M50_pfnf_nch.tif,995,6850,8,4
122,ign-FNF-2009/observation_irc_2009/945_6925_6_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_6_6_0M50_pfnf_nch.tif,945,6925,6,6
123,ign-FNF-2009/observation_irc_2009/995_6895_8_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6895_8_9_0M50_pfnf_nch.tif,995,6895,8,9
124,ign-FNF-2009/observation_irc_2009/980_6825_3_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/980_6825_3_3_0M50_pfnf_nch.tif,980,6825,3,3
125,ign-FNF-2009/observation_irc_2009/910_6935_2_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/910_6935_2_2_0M50_pfnf_nch.tif,910,6935,2,2
126,ign-FNF-2009/observation_irc_2009/925_6860_3_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/925_6860_3_3_0M50_pfnf_nch.tif,925,6860,3,3
127,ign-FNF-2009/observation_irc_2009/980_6825_5_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/980_6825_5_3_0M50_pfnf_nch.tif,980,6825,5,3
128,ign-FNF-2009/observation_irc_2009/915_6915_6_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6915_6_2_0M50_pfnf_nch.tif,915,6915,6,2
129,ign-FNF-2009/observation_irc_2009/945_6845_5_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6845_5_6_0M50_pfnf_nch.tif,945,6845,5,6
130,ign-FNF-2009/observation_irc_2009/925_6860_6_9_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/925_6860_6_9_0M50_pfnf_nch.tif,925,6860,6,9
131,ign-FNF-2009/observation_irc_2009/955_6915_8_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/955_6915_8_5_0M50_pfnf_nch.tif,955,6915,8,5
132,ign-FNF-2009/observation_irc_2009/940_6905_9_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6905_9_2_0M50_pfnf_nch.tif,940,6905,9,2
133,ign-FNF-2009/observation_irc_2009/920_6860_1_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/920_6860_1_2_0M50_pfnf_nch.tif,920,6860,1,2
134,ign-FNF-2009/observation_irc_2009/920_6860_8_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/920_6860_8_6_0M50_pfnf_nch.tif,920,6860,8,6
135,ign-FNF-2009/observation_irc_2009/1015_6895_5_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_5_3_0M50_pfnf_nch.tif,1015,6895,5,3
136,ign-FNF-2009/observation_irc_2009/920_6860_6_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/920_6860_6_5_0M50_pfnf_nch.tif,920,6860,6,5
137,ign-FNF-2009/observation_irc_2009/945_6925_9_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_9_4_0M50_pfnf_nch.tif,945,6925,9,4
138,ign-FNF-2009/observation_irc_2009/915_6890_7_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_7_5_0M50_pfnf_nch.tif,915,6890,7,5
