Observations,Annotations,latitude,longitude,ligne,colonne,coord
ign-FNF-2009/train/observations/940_6925_6_6_observation_irc.tif,ign-FNF-2009/train/annotations/940_6925_6_6_0M50_pfnf_nch.tif,940,6925,6,6,940_6925
ign-FNF-2009/train/observations/945_6845_6_9_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_6_9_0M50_pfnf_nch.tif,945,6845,6,9,945_6845
ign-FNF-2009/train/observations/915_6890_7_2_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_7_2_0M50_pfnf_nch.tif,915,6890,7,2,915_6890
ign-FNF-2009/train/observations/915_6890_3_8_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_3_8_0M50_pfnf_nch.tif,915,6890,3,8,915_6890
ign-FNF-2009/train/observations/1015_6895_2_4_observation_irc.tif,ign-FNF-2009/train/annotations/1015_6895_2_4_0M50_pfnf_nch.tif,1015,6895,2,4,1015_6895
ign-FNF-2009/train/observations/920_6860_4_9_observation_irc.tif,ign-FNF-2009/train/annotations/920_6860_4_9_0M50_pfnf_nch.tif,920,6860,4,9,920_6860
ign-FNF-2009/train/observations/890_6940_1_1_observation_irc.tif,ign-FNF-2009/train/annotations/890_6940_1_1_0M50_pfnf_nch.tif,890,6940,1,1,890_6940
ign-FNF-2009/train/observations/915_6825_6_2_observation_irc.tif,ign-FNF-2009/train/annotations/915_6825_6_2_0M50_pfnf_nch.tif,915,6825,6,2,915_6825
ign-FNF-2009/train/observations/920_6860_7_5_observation_irc.tif,ign-FNF-2009/train/annotations/920_6860_7_5_0M50_pfnf_nch.tif,920,6860,7,5,920_6860
ign-FNF-2009/train/observations/920_6860_1_2_observation_irc.tif,ign-FNF-2009/train/annotations/920_6860_1_2_0M50_pfnf_nch.tif,920,6860,1,2,920_6860
ign-FNF-2009/train/observations/975_6835_1_8_observation_irc.tif,ign-FNF-2009/train/annotations/975_6835_1_8_0M50_pfnf_nch.tif,975,6835,1,8,975_6835
ign-FNF-2009/train/observations/995_6895_4_8_observation_irc.tif,ign-FNF-2009/train/annotations/995_6895_4_8_0M50_pfnf_nch.tif,995,6895,4,8,995_6895
ign-FNF-2009/train/observations/975_6825_3_8_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_3_8_0M50_pfnf_nch.tif,975,6825,3,8,975_6825
ign-FNF-2009/train/observations/955_6915_4_9_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_4_9_0M50_pfnf_nch.tif,955,6915,4,9,955_6915
ign-FNF-2009/train/observations/945_6845_2_2_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_2_2_0M50_pfnf_nch.tif,945,6845,2,2,945_6845
ign-FNF-2009/train/observations/975_6835_4_6_observation_irc.tif,ign-FNF-2009/train/annotations/975_6835_4_6_0M50_pfnf_nch.tif,975,6835,4,6,975_6835
ign-FNF-2009/train/observations/975_6850_5_6_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_5_6_0M50_pfnf_nch.tif,975,6850,5,6,975_6850
ign-FNF-2009/train/observations/955_6915_6_8_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_6_8_0M50_pfnf_nch.tif,955,6915,6,8,955_6915
ign-FNF-2009/train/observations/940_6925_7_5_observation_irc.tif,ign-FNF-2009/train/annotations/940_6925_7_5_0M50_pfnf_nch.tif,940,6925,7,5,940_6925
ign-FNF-2009/train/observations/1015_6895_4_6_observation_irc.tif,ign-FNF-2009/train/annotations/1015_6895_4_6_0M50_pfnf_nch.tif,1015,6895,4,6,1015_6895
ign-FNF-2009/train/observations/975_6835_3_8_observation_irc.tif,ign-FNF-2009/train/annotations/975_6835_3_8_0M50_pfnf_nch.tif,975,6835,3,8,975_6835
ign-FNF-2009/train/observations/975_6850_5_1_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_5_1_0M50_pfnf_nch.tif,975,6850,5,1,975_6850
ign-FNF-2009/train/observations/975_6850_1_1_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_1_1_0M50_pfnf_nch.tif,975,6850,1,1,975_6850
ign-FNF-2009/train/observations/920_6860_9_8_observation_irc.tif,ign-FNF-2009/train/annotations/920_6860_9_8_0M50_pfnf_nch.tif,920,6860,9,8,920_6860
ign-FNF-2009/train/observations/940_6925_3_3_observation_irc.tif,ign-FNF-2009/train/annotations/940_6925_3_3_0M50_pfnf_nch.tif,940,6925,3,3,940_6925
ign-FNF-2009/train/observations/940_6925_7_2_observation_irc.tif,ign-FNF-2009/train/annotations/940_6925_7_2_0M50_pfnf_nch.tif,940,6925,7,2,940_6925
ign-FNF-2009/train/observations/975_6835_8_2_observation_irc.tif,ign-FNF-2009/train/annotations/975_6835_8_2_0M50_pfnf_nch.tif,975,6835,8,2,975_6835
ign-FNF-2009/train/observations/955_6915_5_5_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_5_5_0M50_pfnf_nch.tif,955,6915,5,5,955_6915
ign-FNF-2009/train/observations/945_6925_7_4_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_7_4_0M50_pfnf_nch.tif,945,6925,7,4,945_6925
ign-FNF-2009/train/observations/915_6890_8_9_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_8_9_0M50_pfnf_nch.tif,915,6890,8,9,915_6890
ign-FNF-2009/train/observations/940_6925_2_6_observation_irc.tif,ign-FNF-2009/train/annotations/940_6925_2_6_0M50_pfnf_nch.tif,940,6925,2,6,940_6925
ign-FNF-2009/train/observations/915_6890_6_9_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_6_9_0M50_pfnf_nch.tif,915,6890,6,9,915_6890
ign-FNF-2009/train/observations/925_6860_4_9_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_4_9_0M50_pfnf_nch.tif,925,6860,4,9,925_6860
ign-FNF-2009/train/observations/945_6925_4_1_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_4_1_0M50_pfnf_nch.tif,945,6925,4,1,945_6925
ign-FNF-2009/train/observations/945_6845_6_8_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_6_8_0M50_pfnf_nch.tif,945,6845,6,8,945_6845
ign-FNF-2009/train/observations/975_6825_3_6_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_3_6_0M50_pfnf_nch.tif,975,6825,3,6,975_6825
ign-FNF-2009/train/observations/975_6850_1_3_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_1_3_0M50_pfnf_nch.tif,975,6850,1,3,975_6850
ign-FNF-2009/train/observations/940_6925_1_2_observation_irc.tif,ign-FNF-2009/train/annotations/940_6925_1_2_0M50_pfnf_nch.tif,940,6925,1,2,940_6925
ign-FNF-2009/train/observations/975_6850_3_7_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_3_7_0M50_pfnf_nch.tif,975,6850,3,7,975_6850
ign-FNF-2009/train/observations/945_6925_5_5_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_5_5_0M50_pfnf_nch.tif,945,6925,5,5,945_6925
ign-FNF-2009/train/observations/1015_6895_6_8_observation_irc.tif,ign-FNF-2009/train/annotations/1015_6895_6_8_0M50_pfnf_nch.tif,1015,6895,6,8,1015_6895
ign-FNF-2009/train/observations/995_6895_8_2_observation_irc.tif,ign-FNF-2009/train/annotations/995_6895_8_2_0M50_pfnf_nch.tif,995,6895,8,2,995_6895
ign-FNF-2009/train/observations/955_6915_6_6_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_6_6_0M50_pfnf_nch.tif,955,6915,6,6,955_6915
ign-FNF-2009/train/observations/980_6825_1_7_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_1_7_0M50_pfnf_nch.tif,980,6825,1,7,980_6825
ign-FNF-2009/train/observations/945_6925_1_2_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_1_2_0M50_pfnf_nch.tif,945,6925,1,2,945_6925
ign-FNF-2009/train/observations/925_6860_5_3_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_5_3_0M50_pfnf_nch.tif,925,6860,5,3,925_6860
ign-FNF-2009/train/observations/940_6905_5_6_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_5_6_0M50_pfnf_nch.tif,940,6905,5,6,940_6905
ign-FNF-2009/train/observations/920_6860_5_9_observation_irc.tif,ign-FNF-2009/train/annotations/920_6860_5_9_0M50_pfnf_nch.tif,920,6860,5,9,920_6860
ign-FNF-2009/train/observations/945_6925_2_7_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_2_7_0M50_pfnf_nch.tif,945,6925,2,7,945_6925
ign-FNF-2009/train/observations/980_6825_3_6_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_3_6_0M50_pfnf_nch.tif,980,6825,3,6,980_6825
ign-FNF-2009/train/observations/955_6915_5_2_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_5_2_0M50_pfnf_nch.tif,955,6915,5,2,955_6915
ign-FNF-2009/train/observations/975_6825_2_2_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_2_2_0M50_pfnf_nch.tif,975,6825,2,2,975_6825
ign-FNF-2009/train/observations/955_6915_8_9_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_8_9_0M50_pfnf_nch.tif,955,6915,8,9,955_6915
ign-FNF-2009/train/observations/890_6940_9_8_observation_irc.tif,ign-FNF-2009/train/annotations/890_6940_9_8_0M50_pfnf_nch.tif,890,6940,9,8,890_6940
ign-FNF-2009/train/observations/995_6895_7_4_observation_irc.tif,ign-FNF-2009/train/annotations/995_6895_7_4_0M50_pfnf_nch.tif,995,6895,7,4,995_6895
ign-FNF-2009/train/observations/925_6860_2_2_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_2_2_0M50_pfnf_nch.tif,925,6860,2,2,925_6860
ign-FNF-2009/train/observations/915_6825_6_3_observation_irc.tif,ign-FNF-2009/train/annotations/915_6825_6_3_0M50_pfnf_nch.tif,915,6825,6,3,915_6825
ign-FNF-2009/train/observations/955_6915_9_7_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_9_7_0M50_pfnf_nch.tif,955,6915,9,7,955_6915
ign-FNF-2009/train/observations/975_6850_5_5_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_5_5_0M50_pfnf_nch.tif,975,6850,5,5,975_6850
ign-FNF-2009/train/observations/920_6860_7_4_observation_irc.tif,ign-FNF-2009/train/annotations/920_6860_7_4_0M50_pfnf_nch.tif,920,6860,7,4,920_6860
ign-FNF-2009/train/observations/975_6825_5_1_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_5_1_0M50_pfnf_nch.tif,975,6825,5,1,975_6825
ign-FNF-2009/train/observations/940_6905_6_2_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_6_2_0M50_pfnf_nch.tif,940,6905,6,2,940_6905
ign-FNF-2009/train/observations/940_6905_9_7_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_9_7_0M50_pfnf_nch.tif,940,6905,9,7,940_6905
ign-FNF-2009/train/observations/925_6860_3_9_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_3_9_0M50_pfnf_nch.tif,925,6860,3,9,925_6860
ign-FNF-2009/train/observations/980_6825_1_6_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_1_6_0M50_pfnf_nch.tif,980,6825,1,6,980_6825
ign-FNF-2009/train/observations/915_6825_5_9_observation_irc.tif,ign-FNF-2009/train/annotations/915_6825_5_9_0M50_pfnf_nch.tif,915,6825,5,9,915_6825
ign-FNF-2009/train/observations/975_6850_2_1_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_2_1_0M50_pfnf_nch.tif,975,6850,2,1,975_6850
ign-FNF-2009/train/observations/940_6925_2_4_observation_irc.tif,ign-FNF-2009/train/annotations/940_6925_2_4_0M50_pfnf_nch.tif,940,6925,2,4,940_6925
ign-FNF-2009/train/observations/975_6835_2_8_observation_irc.tif,ign-FNF-2009/train/annotations/975_6835_2_8_0M50_pfnf_nch.tif,975,6835,2,8,975_6835
ign-FNF-2009/train/observations/975_6850_3_6_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_3_6_0M50_pfnf_nch.tif,975,6850,3,6,975_6850
ign-FNF-2009/train/observations/890_6940_6_9_observation_irc.tif,ign-FNF-2009/train/annotations/890_6940_6_9_0M50_pfnf_nch.tif,890,6940,6,9,890_6940
ign-FNF-2009/train/observations/975_6850_5_9_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_5_9_0M50_pfnf_nch.tif,975,6850,5,9,975_6850
ign-FNF-2009/train/observations/915_6890_3_2_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_3_2_0M50_pfnf_nch.tif,915,6890,3,2,915_6890
ign-FNF-2009/train/observations/955_6915_9_3_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_9_3_0M50_pfnf_nch.tif,955,6915,9,3,955_6915
ign-FNF-2009/train/observations/945_6925_8_2_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_8_2_0M50_pfnf_nch.tif,945,6925,8,2,945_6925
ign-FNF-2009/train/observations/915_6890_1_4_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_1_4_0M50_pfnf_nch.tif,915,6890,1,4,915_6890
ign-FNF-2009/train/observations/975_6825_1_7_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_1_7_0M50_pfnf_nch.tif,975,6825,1,7,975_6825
ign-FNF-2009/train/observations/975_6825_1_8_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_1_8_0M50_pfnf_nch.tif,975,6825,1,8,975_6825
ign-FNF-2009/train/observations/975_6825_1_4_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_1_4_0M50_pfnf_nch.tif,975,6825,1,4,975_6825
ign-FNF-2009/train/observations/940_6905_4_9_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_4_9_0M50_pfnf_nch.tif,940,6905,4,9,940_6905
ign-FNF-2009/train/observations/945_6845_9_2_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_9_2_0M50_pfnf_nch.tif,945,6845,9,2,945_6845
ign-FNF-2009/train/observations/975_6825_6_3_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_6_3_0M50_pfnf_nch.tif,975,6825,6,3,975_6825
ign-FNF-2009/train/observations/945_6845_8_3_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_8_3_0M50_pfnf_nch.tif,945,6845,8,3,945_6845
ign-FNF-2009/train/observations/945_6925_7_6_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_7_6_0M50_pfnf_nch.tif,945,6925,7,6,945_6925
ign-FNF-2009/train/observations/920_6860_6_2_observation_irc.tif,ign-FNF-2009/train/annotations/920_6860_6_2_0M50_pfnf_nch.tif,920,6860,6,2,920_6860
ign-FNF-2009/train/observations/945_6845_8_6_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_8_6_0M50_pfnf_nch.tif,945,6845,8,6,945_6845
ign-FNF-2009/train/observations/975_6850_6_6_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_6_6_0M50_pfnf_nch.tif,975,6850,6,6,975_6850
ign-FNF-2009/train/observations/980_6825_2_1_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_2_1_0M50_pfnf_nch.tif,980,6825,2,1,980_6825
ign-FNF-2009/train/observations/980_6825_7_1_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_7_1_0M50_pfnf_nch.tif,980,6825,7,1,980_6825
ign-FNF-2009/train/observations/980_6825_6_7_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_6_7_0M50_pfnf_nch.tif,980,6825,6,7,980_6825
ign-FNF-2009/train/observations/945_6845_8_1_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_8_1_0M50_pfnf_nch.tif,945,6845,8,1,945_6845
ign-FNF-2009/train/observations/925_6860_5_7_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_5_7_0M50_pfnf_nch.tif,925,6860,5,7,925_6860
ign-FNF-2009/train/observations/1015_6895_2_8_observation_irc.tif,ign-FNF-2009/train/annotations/1015_6895_2_8_0M50_pfnf_nch.tif,1015,6895,2,8,1015_6895
ign-FNF-2009/train/observations/890_6940_3_5_observation_irc.tif,ign-FNF-2009/train/annotations/890_6940_3_5_0M50_pfnf_nch.tif,890,6940,3,5,890_6940
ign-FNF-2009/train/observations/920_6860_7_9_observation_irc.tif,ign-FNF-2009/train/annotations/920_6860_7_9_0M50_pfnf_nch.tif,920,6860,7,9,920_6860
ign-FNF-2009/train/observations/925_6860_9_7_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_9_7_0M50_pfnf_nch.tif,925,6860,9,7,925_6860
ign-FNF-2009/train/observations/925_6860_2_3_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_2_3_0M50_pfnf_nch.tif,925,6860,2,3,925_6860
ign-FNF-2009/train/observations/955_6915_8_1_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_8_1_0M50_pfnf_nch.tif,955,6915,8,1,955_6915
ign-FNF-2009/train/observations/940_6905_7_2_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_7_2_0M50_pfnf_nch.tif,940,6905,7,2,940_6905
ign-FNF-2009/train/observations/915_6825_3_4_observation_irc.tif,ign-FNF-2009/train/annotations/915_6825_3_4_0M50_pfnf_nch.tif,915,6825,3,4,915_6825
ign-FNF-2009/train/observations/945_6845_7_7_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_7_7_0M50_pfnf_nch.tif,945,6845,7,7,945_6845
ign-FNF-2009/train/observations/925_6860_9_9_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_9_9_0M50_pfnf_nch.tif,925,6860,9,9,925_6860
ign-FNF-2009/train/observations/945_6845_1_7_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_1_7_0M50_pfnf_nch.tif,945,6845,1,7,945_6845
ign-FNF-2009/train/observations/980_6825_9_7_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_9_7_0M50_pfnf_nch.tif,980,6825,9,7,980_6825
ign-FNF-2009/train/observations/925_6860_4_8_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_4_8_0M50_pfnf_nch.tif,925,6860,4,8,925_6860
ign-FNF-2009/train/observations/925_6860_1_7_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_1_7_0M50_pfnf_nch.tif,925,6860,1,7,925_6860
ign-FNF-2009/train/observations/915_6890_7_9_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_7_9_0M50_pfnf_nch.tif,915,6890,7,9,915_6890
ign-FNF-2009/train/observations/890_6940_4_6_observation_irc.tif,ign-FNF-2009/train/annotations/890_6940_4_6_0M50_pfnf_nch.tif,890,6940,4,6,890_6940
ign-FNF-2009/train/observations/975_6835_3_6_observation_irc.tif,ign-FNF-2009/train/annotations/975_6835_3_6_0M50_pfnf_nch.tif,975,6835,3,6,975_6835
ign-FNF-2009/train/observations/945_6925_4_2_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_4_2_0M50_pfnf_nch.tif,945,6925,4,2,945_6925
ign-FNF-2009/train/observations/980_6825_4_9_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_4_9_0M50_pfnf_nch.tif,980,6825,4,9,980_6825
ign-FNF-2009/train/observations/915_6890_4_6_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_4_6_0M50_pfnf_nch.tif,915,6890,4,6,915_6890
ign-FNF-2009/train/observations/890_6940_3_1_observation_irc.tif,ign-FNF-2009/train/annotations/890_6940_3_1_0M50_pfnf_nch.tif,890,6940,3,1,890_6940
ign-FNF-2009/train/observations/915_6825_8_2_observation_irc.tif,ign-FNF-2009/train/annotations/915_6825_8_2_0M50_pfnf_nch.tif,915,6825,8,2,915_6825
ign-FNF-2009/train/observations/945_6925_9_3_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_9_3_0M50_pfnf_nch.tif,945,6925,9,3,945_6925
ign-FNF-2009/train/observations/915_6890_8_3_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_8_3_0M50_pfnf_nch.tif,915,6890,8,3,915_6890
ign-FNF-2009/train/observations/995_6895_5_9_observation_irc.tif,ign-FNF-2009/train/annotations/995_6895_5_9_0M50_pfnf_nch.tif,995,6895,5,9,995_6895
ign-FNF-2009/train/observations/995_6895_5_7_observation_irc.tif,ign-FNF-2009/train/annotations/995_6895_5_7_0M50_pfnf_nch.tif,995,6895,5,7,995_6895
ign-FNF-2009/train/observations/980_6825_7_9_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_7_9_0M50_pfnf_nch.tif,980,6825,7,9,980_6825
ign-FNF-2009/train/observations/925_6860_8_9_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_8_9_0M50_pfnf_nch.tif,925,6860,8,9,925_6860
ign-FNF-2009/train/observations/980_6825_5_5_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_5_5_0M50_pfnf_nch.tif,980,6825,5,5,980_6825
ign-FNF-2009/train/observations/1015_6895_5_6_observation_irc.tif,ign-FNF-2009/train/annotations/1015_6895_5_6_0M50_pfnf_nch.tif,1015,6895,5,6,1015_6895
ign-FNF-2009/train/observations/975_6835_6_9_observation_irc.tif,ign-FNF-2009/train/annotations/975_6835_6_9_0M50_pfnf_nch.tif,975,6835,6,9,975_6835
ign-FNF-2009/train/observations/945_6845_2_7_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_2_7_0M50_pfnf_nch.tif,945,6845,2,7,945_6845
ign-FNF-2009/train/observations/955_6915_9_1_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_9_1_0M50_pfnf_nch.tif,955,6915,9,1,955_6915
ign-FNF-2009/train/observations/925_6860_1_5_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_1_5_0M50_pfnf_nch.tif,925,6860,1,5,925_6860
ign-FNF-2009/train/observations/945_6845_8_2_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_8_2_0M50_pfnf_nch.tif,945,6845,8,2,945_6845
ign-FNF-2009/train/observations/915_6890_3_9_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_3_9_0M50_pfnf_nch.tif,915,6890,3,9,915_6890
ign-FNF-2009/train/observations/975_6825_4_3_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_4_3_0M50_pfnf_nch.tif,975,6825,4,3,975_6825
ign-FNF-2009/train/observations/915_6890_8_7_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_8_7_0M50_pfnf_nch.tif,915,6890,8,7,915_6890
ign-FNF-2009/train/observations/940_6905_4_3_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_4_3_0M50_pfnf_nch.tif,940,6905,4,3,940_6905
ign-FNF-2009/train/observations/945_6845_3_4_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_3_4_0M50_pfnf_nch.tif,945,6845,3,4,945_6845
ign-FNF-2009/train/observations/945_6925_8_4_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_8_4_0M50_pfnf_nch.tif,945,6925,8,4,945_6925
ign-FNF-2009/train/observations/890_6940_9_7_observation_irc.tif,ign-FNF-2009/train/annotations/890_6940_9_7_0M50_pfnf_nch.tif,890,6940,9,7,890_6940
ign-FNF-2009/train/observations/915_6825_2_8_observation_irc.tif,ign-FNF-2009/train/annotations/915_6825_2_8_0M50_pfnf_nch.tif,915,6825,2,8,915_6825
ign-FNF-2009/train/observations/945_6925_4_3_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_4_3_0M50_pfnf_nch.tif,945,6925,4,3,945_6925
ign-FNF-2009/train/observations/915_6890_5_8_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_5_8_0M50_pfnf_nch.tif,915,6890,5,8,915_6890
ign-FNF-2009/train/observations/955_6915_7_3_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_7_3_0M50_pfnf_nch.tif,955,6915,7,3,955_6915
ign-FNF-2009/train/observations/945_6845_9_9_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_9_9_0M50_pfnf_nch.tif,945,6845,9,9,945_6845
ign-FNF-2009/train/observations/940_6905_7_5_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_7_5_0M50_pfnf_nch.tif,940,6905,7,5,940_6905
ign-FNF-2009/train/observations/915_6890_9_9_observation_irc.tif,ign-FNF-2009/train/annotations/915_6890_9_9_0M50_pfnf_nch.tif,915,6890,9,9,915_6890
ign-FNF-2009/train/observations/940_6905_6_1_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_6_1_0M50_pfnf_nch.tif,940,6905,6,1,940_6905
ign-FNF-2009/train/observations/925_6860_1_3_observation_irc.tif,ign-FNF-2009/train/annotations/925_6860_1_3_0M50_pfnf_nch.tif,925,6860,1,3,925_6860
ign-FNF-2009/train/observations/995_6895_1_3_observation_irc.tif,ign-FNF-2009/train/annotations/995_6895_1_3_0M50_pfnf_nch.tif,995,6895,1,3,995_6895
ign-FNF-2009/train/observations/1015_6895_9_6_observation_irc.tif,ign-FNF-2009/train/annotations/1015_6895_9_6_0M50_pfnf_nch.tif,1015,6895,9,6,1015_6895
ign-FNF-2009/train/observations/945_6925_5_7_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_5_7_0M50_pfnf_nch.tif,945,6925,5,7,945_6925
ign-FNF-2009/train/observations/975_6825_9_4_observation_irc.tif,ign-FNF-2009/train/annotations/975_6825_9_4_0M50_pfnf_nch.tif,975,6825,9,4,975_6825
ign-FNF-2009/train/observations/975_6835_7_4_observation_irc.tif,ign-FNF-2009/train/annotations/975_6835_7_4_0M50_pfnf_nch.tif,975,6835,7,4,975_6835
ign-FNF-2009/train/observations/955_6915_9_5_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_9_5_0M50_pfnf_nch.tif,955,6915,9,5,955_6915
